lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
66,106,165,303,541,920,1891,1450,2373,10/8/23
68,110,171,316,570,979,2042,1557,2576,10/15/23
69,112,176,328,597,1036,2191,1661,2777,10/22/23
71,115,182,341,626,1094,2346,1770,2986,10/29/23
83,132,205,382,700,1231,2664,2002,3405,11/5/23
87,138,215,402,743,1315,2880,2155,3695,11/12/23
113,173,262,482,886,1569,3463,2583,4458,11/19/23
117,179,272,502,930,1659,3703,2749,4784,11/26/23
130,196,297,548,1017,1824,4110,3040,5328,12/3/23
149,222,334,613,1138,2051,4662,3437,6064,12/10/23
132,202,308,575,1082,1969,4530,3324,5915,12/17/23
95,154,244,474,912,1684,3936,2873,5162,12/24/23
113,179,280,538,1033,1913,4500,3276,5916,12/31/23
142,218,334,633,1211,2245,5311,3856,7000,1/7/24
186,276,417,777,1479,2743,6525,4727,8620,1/14/24
215,315,472,877,1670,3107,7442,5376,9856,1/21/24
281,404,597,1097,2082,3877,9336,6728,12391,1/28/24
350,497,728,1329,2521,4707,11402,8197,15169,2/4/24
437,615,894,1625,3082,5768,14056,10080,18743,2/11/24
493,691,1004,1824,3469,6518,15993,11439,21376,2/18/24
622,866,1251,2266,4311,8123,20049,14306,26855,2/25/24
728,1011,1458,2642,5038,9529,23667,16845,31771,3/3/24
836,1158,1670,3028,5791,10994,27480,19512,36970,3/10/24
961,1329,1914,3476,6667,12704,31950,22632,43075,3/17/24
979,1356,1958,3570,6876,13161,33315,23541,45010,3/24/24
1009,1400,2025,3703,7162,13767,35066,24721,47474,3/31/24
1037,1441,2089,3833,7442,14363,36806,25888,49927,4/7/24
938,1310,1907,3520,6871,13324,34360,24111,46702,4/14/24
796,1120,1640,3049,5988,11672,30295,21209,41260,4/21/24
693,981,1446,2708,5350,10479,27369,19117,37346,4/28/24
575,822,1221,2307,4590,9038,23757,16557,32480,5/5/24
423,615,927,1777,3571,7079,18739,13028,25671,5/12/24
279,420,648,1271,2591,5182,13832,9589,18989,5/19/24
180,285,454,919,1907,3853,10378,7174,14280,5/26/24
110,189,317,670,1421,2904,7902,5445,10899,6/2/24
75,141,248,545,1178,2434,6680,4590,9233,6/9/24
36,88,172,405,903,1895,5261,3602,7290,6/16/24
16,60,132,333,766,1630,4582,3125,6369,6/23/24
0,33,94,263,630,1366,3899,2646,5439,6/30/24
0,19,73,226,558,1229,3552,2401,4971,7/7/24
0,3,51,185,479,1076,3154,2123,4429,7/14/24
0,0,40,166,443,1007,2985,2002,4204,7/21/24
0,0,26,141,393,910,2733,1825,3861,7/28/24
0,0,14,119,350,827,2517,1674,3566,8/4/24
0,0,6,104,322,773,2380,1578,3382,8/11/24
0,0,4,101,318,767,2379,1573,3387,8/18/24
0,0,0,94,305,745,2330,1536,3325,8/25/24
0,0,0,88,294,725,2287,1503,3270,9/1/24
0,0,0,90,298,737,2335,1532,3344,9/8/24
0,0,0,86,293,728,2322,1520,3331,9/15/24
0,0,0,83,287,719,2308,1508,3317,9/22/24
0,0,0,86,295,740,2380,1553,3426,9/29/24
